7/21/2022	UBER *TRIP HELP.UBER.COM NLD 3,00 RON	€0.62
7/22/2022	UBER *TRIP HELP.UBER.COM NLD 52,27 RON	€10.93
7/22/2022	UBER *TRIP HELP.UBER.C AMSTERDAM NLD 19,60 RON	€4.10
7/22/2022	UBER *TRIP HELP.UBER.COM NLD 14,00 RON	€2.92
7/22/2022	STB SA BUCURESTI ROM 3,00 RON	€0.63
7/23/2022	ZAGAZAGA.RO MARASESTI ROM 2.809,16 RON	€588.49
7/25/2022	CINEMACITY.RO BUCURE*TI ROM 51,00 RON	€10.67
7/25/2022	RATBV BRASOV ROM 2,50 RON	€0.52
7/25/2022	RATBV BRASOV ROM 2,50 RON	€0.52
7/25/2022	RATBV BRASOV ROM 2,50 RON	€0.52
7/26/2022	UBER *TRIP HELP.UBER.COM NLD 8,50 RON	€1.77
7/26/2022	UBER *TRIP HELP.UBER.COM NLD 8,50 RON	€1.77
7/26/2022	RATBV BRASOV ROM 2,50 RON	€0.52
8/6/2022	UBER *TRIP HELP.UBER.COM NLD 10,61 RON	€2.22
8/7/2022	UBER *TRIP HELP.UBER.COM NLD 45,30 RON	€9.48
8/8/2022	PAYU*EMAG.RO ROMANIA ROM 348,51 RON	€73.01
8/8/2022	UBER *TRIP HELP.UBER.COM NLD 26,61 RON	€5.57
8/8/2022	UBER *TRIP HELP.UBER.COM NLD 16,24 RON	€3.40
8/8/2022	UBER *TRIP HELP.UBER.COM NLD 3,00 RON	€0.63
8/9/2022	BOLT.EU/O/2208091417 TALLINN EST 52,30 RON	€10.96
8/9/2022	UBER *TRIP HELP.UBER.COM NLD 51,00 RON	€10.68
8/9/2022	UBER *TRIP HELP.UBER.COM NLD 31,57 RON	€6.61
8/9/2022	UBER *TRIP HELP.UBER.COM NLD 18,88 RON	€3.95
8/9/2022	UBER *TRIP HELP.UBER.COM NLD 17,78 RON	€3.72
8/9/2022	UBER *TRIP HELP.UBER.COM NLD 15,58 RON	€3.26
8/9/2022	UBER *TRIP HELP.UBER.C AMSTERDAM NLD 3,00 RON	€0.63
8/10/2022	UBER *TRIP HELP.UBER.COM NLD 39,11 RON	€8.19
8/11/2022	APPLE.COM/BILL ITUNES.COM IRL	€9.99
8/13/2022	PAYU*OYSHO.COM/RO ROMANIA ROM 219,90 RON	€46.07
8/13/2022	UBER *EATS HELP.UBER.COM NLD	€36.50
8/15/2022	APPLE.COM/BILL ITUNES.COM IRL	€14.99
8/17/2022	PLATION*FARMACIATEI BUCURESTI ROM 152,80 RON	€32.15
8/23/2022	PAYU*EMAG.RO ROMANIA ROM 99,00 RON	€20.93
8/27/2022	APPLE.COM/BILL ITUNES.COM IRL	€7.99
8/28/2022	UBER *TRIP HELP.UBER.C AMSTERDAM NLD	€27.03
9/8/2022	APPLE.COM/BILL ITUNES.COM IRL	€4.99
9/9/2022	DIGITALOCEAN.COM AMSTERDAM NLD 13,31 USD	€13.66
9/9/2022	APPLE.COM/BILL ITUNES.COM IRL	€8.99
9/10/2022	AMZNPRIMENL*VT2DN7RJ5 WWW.AMAZON.NL LUX	€2.99
9/11/2022	WOMENSECRET MADRID ESP	€108.17
9/11/2022	APPLE.COM/BILL ITUNES.COM IRL	€9.99
9/14/2022	COOLBLUE ROTTERDAM NLD	€429.00
9/15/2022	APPLE.COM/BILL ITUNES.COM IRL	€14.99
9/20/2022	UBER *EATS HELP.UBER.COM NLD	€49.24
9/20/2022	UBER *EATS HELP.UBER.COM NLD	€23.79
9/21/2022	PAYU*IELM.RO ROMANIA ROM 313,20 RON	€65.46
9/23/2022	RENTALCARS.COM LONDON GBR	€418.36
9/24/2022	M AND M EXPRESS MOBILP MUNICIPIUL BR ROM 120,00 RON	€25.17
9/25/2022	DNH*GO DADDY EUROPE EU HAYES GBR	€72.91
9/25/2022	UBER *TRIP HELP.UBER.COM NLD 42,20 RON	€8.85
9/25/2022	UBER *TRIP HELP.UBER.COM NLD 29,53 RON	€6.19
9/26/2022	ETRMYTRIP_UK_LTK58Y ONLINE GBR 195,99 GBP	€228.88
9/26/2022	UBER *TRIP HELP.UBER.COM NLD 51,40 RON	€10.78
9/26/2022	UBER *TRIP HELP.UBER.COM NLD 35,12 RON	€7.36
9/26/2022	UBER *TRIP HELP.UBER.COM NLD 5,00 RON	€1.05
9/27/2022	APPLE.COM/BILL ITUNES.COM IRL	€7.99
9/29/2022	PAYPAL *NOLIMITES 35314369001 NLD	€28.00
9/30/2022	LANDAL.NL 813931705-56 DEN HAAG NLD	€512.27
9/30/2022	APPLE.COM/BILL ITUNES.COM IRL	€8.99
10/1/2022	DIGITALOCEAN.COM AMSTERDAM NLD 13,31 USD	€13.94
10/1/2022	AMZNPRIMENL*GC0EE0DK5 WWW.AMAZON.NL LUX	€2.99
10/2/2022	APPLE.COM/BILL ITUNES.COM IRL	€4.99
10/11/2022	APPLE.COM/BILL CORK IRL	€9.99
10/12/2022	AUDIBLE LIMITED AU MELBOURNE AUS 14,95 AUD	€9.97
10/13/2022	UBER *TRIP HELP.UBER.COM NLD 47,32 RON	€9.89
10/14/2022	AMAZONRETAIL*TL43E8VR5 LUXEMBOURG, L LUX	€22.59
10/15/2022	CINEPLEXX BANEASA BUCURESTI ROM 96,00 RON	€20.05
10/15/2022	APPLE.COM/BILL ITUNES.COM IRL	€14.99
10/15/2022	UBER *TRIP HELP.UBER.COM NLD 40,69 RON	€8.49
10/15/2022	UBER *TRIP HELP.UBER.COM NLD 39,45 RON	€8.24
10/15/2022	UBER *TRIP HELP.UBER.COM NLD 34,42 RON	€7.19
10/16/2022	UBER *TRIP HELP.UBER.COM NLD 35,04 RON	€7.31
10/16/2022	UBER *TRIP HELP.UBER.COM NLD 31,08 RON	€6.48
10/18/2022	SQULA AMSTERDAM NLD	€75.40
10/20/2022	GLOW2GO BUCHAREST ROM 160,00 RON	€33.52
10/21/2022	UBER *TRIP HELP.UBER.COM NLD 59,20 RON	€12.40
10/23/2022	UBER *TRIP HELP.UBER.COM NLD 34,62 RON	€7.30
